Arizona;Nogales;AZ;19829
Arizona;New River;AZ;17731
Arizona;Flowing Wells;AZ;16965
Arizona;Douglas;AZ;16470
Arizona;Payson;AZ;16229
Arizona;Fort Mohave;AZ;15872
Arizona;Eloy;AZ;15171
Arizona;Tanque Verde;AZ;14946
Arizona;Sierra Vista Southeast;AZ;14822
Arizona;Vail;AZ;14715
Arizona;Somerton;AZ;14126
Arizona;Sun Lakes;AZ;13912
Arizona;Coolidge;AZ;13347
Arizona;Valencia West;AZ;12887
Arizona;New Kingman-Butler;AZ;12858
Arizona;Chino Valley;AZ;12854
Arizona;Paradise Valley;AZ;12666
Arizona;Verde Village;AZ;12658
Arkansas;Little Rock;AR;457379
Arkansas;Fayetteville;AR;381636
Arkansas;Fort Smith;AR;127699
Arkansas;Springdale;AR;85887
Arkansas;Jonesboro;AR;77520
Arkansas;Conway;AR;70555
Arkansas;Rogers;AR;68340
Arkansas;North Little Rock;AR;64444
Arkansas;Bentonville;AR;52565
Arkansas;Pine Bluff;AR;41964
Arkansas;Hot Springs;AR;38050
Arkansas;Benton;AR;34746
Arkansas;Sherwood;AR;32544
Arkansas;Bella Vista;AR;29818
Arkansas;Texarkana;AR;29492
Arkansas;Jacksonville;AR;29385
Arkansas;Paragould;AR;29327
Arkansas;Russellville;AR;29057
Arkansas;Cabot;AR;26411
Arkansas;West Memphis;AR;24666
Arkansas;Van Buren;AR;23213
Arkansas;Searcy;AR;23074
Arkansas;Bryant;AR;20399
Arkansas;Maumelle;AR;19070
Arkansas;El Dorado;AR;17800
Arkansas;Centerton;AR;17455
Arkansas;Siloam Springs;AR;16944
Arkansas;Hot Springs Village;AR;15970
Arkansas;Marion;AR;13624
Arkansas;Blytheville;AR;13559
Arkansas;Forrest City;AR;13372
Arkansas;Harrison;AR;13081
Arkansas;Mountain Home;AR;12722
Arkansas;Magnolia;AR;11205
Arkansas;Batesville;AR;11117
Arkansas;Camden;AR;10644
Arkansas;Malvern;AR;10626
Arkansas;Arkadelphia;AR;10332
Arkansas;Helena-West Helena;AR;9707
Arkansas;Lowell;AR;9630
Arkansas;Greenwood;AR;9498
Arkansas;Clarksville;AR;9444
Arkansas;Hope;AR;9010
Arkansas;Monticello;AR;8567
Arkansas;Stuttgart;AR;8363
Arkansas;Wynne;AR;8352
Arkansas;Beebe;AR;8343
Arkansas;Newport;AR;7829
Arkansas;Farmington;AR;7601
Arkansas;Trumann;AR;7416
Arkansas;Pocahontas;AR;7269
Arkansas;Osceola;AR;7016
Arkansas;Heber Springs;AR;7015
Arkansas;Morrilton;AR;6948
Arkansas;Prairie Grove;AR;6908
Arkansas;Pea Ridge;AR;6491
Arkansas;East End;AR;6432
Arkansas;De Queen;AR;6192
Arkansas;Ward;AR;5943
Arkansas;Alma;AR;5806
California;Los Angeles;CA;12121244
California;San Francisco;CA;3290197
California;San Diego;CA;3084174
California;Riverside;CA;2022285
California;Sacramento;CA;1924167
California;San Jose;CA;1729879
California;Fresno;CA;719558
California;Concord;CA;640270
California;Bakersfield;CA;590845
California;Mission Viejo;CA;588540
California;Murrieta;CA;509526
California;Long Beach;CA;466565
California;Oakland;CA;437548
California;Stockton;CA;406822
California;Victorville;CA;389060
California;Modesto;CA;382994
